# Optuna Trials Results for ConvNeXt
# Format: One JSON object per line
# Created: 2025-04-16T07:31:03.116877

{"trial_number": 1, "timestamp": "2025-04-16T07:41:30.246600", "parameters": {"convnext_type": "tiny", "learning_rate": 5.611516415334504e-06, "batch_size": 8, "image_size": 400, "weight_decay": 2.9375384576328295e-05, "actual_epochs": 50}, "metrics": {"accuracy": 43.888888888888886, "loss": 1.8406176644822825, "precision": 0.46679894179894177, "recall": 0.4388888888888889, "f1": 0.419502072002072}}
{"trial_number": 2, "timestamp": "2025-04-16T07:48:22.660701", "parameters": {"convnext_type": "tiny", "learning_rate": 1.306673923805328e-06, "batch_size": 8, "image_size": 400, "weight_decay": 0.008123245085588688, "actual_epochs": 50}, "metrics": {"accuracy": 28.88888888888889, "loss": 2.852220162101414, "precision": 0.2754813187901423, "recall": 0.28888888888888886, "f1": 0.2611593540493796}}
{"trial_number": 3, "timestamp": "2025-04-16T07:54:12.854789", "parameters": {"convnext_type": "tiny", "learning_rate": 4.6225890010208326e-05, "batch_size": 64, "image_size": 400, "weight_decay": 0.00037520558551242813, "actual_epochs": 35}, "metrics": {"accuracy": 54.44444444444444, "loss": 1.463766098022461, "precision": 0.5680194805194806, "recall": 0.5444444444444444, "f1": 0.5255396346572817}}
{"trial_number": 4, "timestamp": "2025-04-16T08:01:03.121466", "parameters": {"convnext_type": "tiny", "learning_rate": 7.30953983591291e-06, "batch_size": 16, "image_size": 400, "weight_decay": 0.00012562773503807024, "actual_epochs": 50}, "metrics": {"accuracy": 46.111111111111114, "loss": 1.91537411014239, "precision": 0.5129689754689756, "recall": 0.46111111111111114, "f1": 0.4460463120757238}}
{"trial_number": 5, "timestamp": "2025-04-16T08:07:53.515739", "parameters": {"convnext_type": "tiny", "learning_rate": 8.168455894760166e-06, "batch_size": 8, "image_size": 400, "weight_decay": 1.3783237455007187e-05, "actual_epochs": 50}, "metrics": {"accuracy": 48.888888888888886, "loss": 1.688615083694458, "precision": 0.52252405002405, "recall": 0.4888888888888889, "f1": 0.4788087511616923}}
{"trial_number": 6, "timestamp": "2025-04-16T08:16:18.604790", "parameters": {"convnext_type": "tiny", "learning_rate": 1.640928673064794e-05, "batch_size": 64, "image_size": 400, "weight_decay": 0.002661901888489057, "actual_epochs": 50}, "metrics": {"accuracy": 48.333333333333336, "loss": 1.8154534896214802, "precision": 0.5136237373737373, "recall": 0.48333333333333334, "f1": 0.4723595358889476}}
{"trial_number": 7, "timestamp": "2025-04-16T08:23:12.198781", "parameters": {"convnext_type": "tiny", "learning_rate": 4.066563313514799e-06, "batch_size": 16, "image_size": 400, "weight_decay": 0.0003058656666978527, "actual_epochs": 50}, "metrics": {"accuracy": 41.111111111111114, "loss": 2.2590384582678475, "precision": 0.434932104932105, "recall": 0.4111111111111111, "f1": 0.3910509135973532}}
{"trial_number": 8, "timestamp": "2025-04-16T08:30:17.634413", "parameters": {"convnext_type": "tiny", "learning_rate": 1.1715937392307063e-06, "batch_size": 8, "image_size": 400, "weight_decay": 0.00036324869566766035, "actual_epochs": 50}, "metrics": {"accuracy": 22.77777777777778, "loss": 2.9538312269293745, "precision": 0.17053751803751804, "recall": 0.22777777777777777, "f1": 0.1851022180433945}}
{"trial_number": 9, "timestamp": "2025-04-16T08:37:15.429708", "parameters": {"convnext_type": "tiny", "learning_rate": 1.2399967836846103e-05, "batch_size": 16, "image_size": 400, "weight_decay": 0.004835952776465951, "actual_epochs": 50}, "metrics": {"accuracy": 53.888888888888886, "loss": 1.5760201066732407, "precision": 0.5577044252044251, "recall": 0.5388888888888889, "f1": 0.5223784059078176}}
{"trial_number": 10, "timestamp": "2025-04-16T08:42:46.909623", "parameters": {"convnext_type": "tiny", "learning_rate": 1.569639638866115e-05, "batch_size": 8, "image_size": 400, "weight_decay": 9.46217535646148e-05, "actual_epochs": 41}, "metrics": {"accuracy": 55.0, "loss": 1.540032967277195, "precision": 0.5844444444444444, "recall": 0.55, "f1": 0.5429673104673104}}
{"trial_number": 11, "timestamp": "2025-04-16T08:44:57.875523", "parameters": {"convnext_type": "tiny", "learning_rate": 8.071091684620424e-05, "batch_size": 32, "image_size": 400, "weight_decay": 6.216454387201082e-05, "actual_epochs": 15}, "metrics": {"accuracy": 51.666666666666664, "loss": 1.6242209474245708, "precision": 0.5201984126984127, "recall": 0.5166666666666667, "f1": 0.510165205165205}}
