id,Title,Image,Category
1111786,4 pcs felt ball garland groovy party banner and daisy groovy boho garland sets with 65 feet colorful pom pom garland pre strung hippie party decorations spring daisy party supplies for wall home room,https://applied-ai.gr/projects/computer-vision/100/1111786.jpg,party decorations
316727,8pcs black white silver birthday decorations honeycomb centerpieces for women men black silver happy birthday table topper party supplies 16th 21st 30th 40th 50th 60th bday table centerpieces decor,https://applied-ai.gr/projects/computer-vision/100/316727.jpg,party decorations
1113140,iridescent sparkle confetti 10 oz 282 grams of cellophane rainbow foil glitter mylar unicorn flakes for crafts resin epoxy glass snow globes invitations new years surprise birthday party,https://applied-ai.gr/projects/computer-vision/100/1113140.jpg,party decorations
577786,halloween rose skull candle party centerpieces stand glowing candle table decorations wedding bridal shower baby shower birthday cosplay party supplies,https://applied-ai.gr/projects/computer-vision/100/577786.jpg,party decorations
1113212,beistle hero action sign cut outs 24 piece comic decorations birthday party supplies 6 125 multicolored,https://applied-ai.gr/projects/computer-vision/100/1113212.jpg,party decorations
577988,red farm truck christmas centerpiece christmas red truck decor farmhouse vintage red pickup truck with christmas trees for home kitchen table centerpieces decorations home decor,https://applied-ai.gr/projects/computer-vision/100/577988.jpg,party decorations
1112124,beer birthday banner beer mug pennant banner for beer party and birthday wedding party supplies,https://applied-ai.gr/projects/computer-vision/100/1112124.jpg,party decorations
574614,rose gold number 16 circle dot twinkle star garland kit metallic hanging streamer bunting banner backdrop decorations for girls 16th birthday sweet sixteen wedding anniversary bridal shower party,https://applied-ai.gr/projects/computer-vision/100/574614.jpg,party decorations
574248,10 pack 1012 inches large wood slices for centerpieces wood centerpieces for tables rustic wedding centerpiece natural wood slabs,https://applied-ai.gr/projects/computer-vision/100/574248.jpg,party decorations
1111578,kuuqa halloween hanging decorations ceiling decoration of chandelier bat crow spider skull for haunted house decoration set of 20,https://applied-ai.gr/projects/computer-vision/100/1111578.jpg,party decorations
575284,6ft lighted fall eucalyptus garland with timer 100 leds 8 flashing lights battery operated fall vine garland with lights for autumn home fireplace mantel centerpieces thanksgiving decor,https://applied-ai.gr/projects/computer-vision/100/575284.jpg,party decorations
316958,kauayurk 30th birthday decorations cheers to 30 years banner rose gold 30 year old birthday backdrop decor for women large thirty birthday poster party supplies,https://applied-ai.gr/projects/computer-vision/100/316958.jpg,party decorations
1112532,10pcs daisy balloons with smile face groovy party decorations boho white flower balloon for birthday wedding party dcor,https://applied-ai.gr/projects/computer-vision/100/1112532.jpg,party decorations
1113237,halloween baby shower decorations orange blue a little boo is almost due backdrop halloween balloon garland arch kit with ghost balloon 3d bat stickers for pregnancy celebration gender reveal,https://applied-ai.gr/projects/computer-vision/100/1113237.jpg,party decorations
577420,50pcs hawaiian leis for luau party bulk luau leis lays necklace hawaiian party supplies for adults and kids hawaiian flower leis for tropicalpoolbeach themed party,https://applied-ai.gr/projects/computer-vision/100/577420.jpg,party decorations
1113330,funeral guest book funeral guest book for memorial services sign in book for funeral leather guest book celebration of life guest book memory book 112 pages book and pen,https://applied-ai.gr/projects/computer-vision/100/1113330.jpg,party decorations
1113852,dragon party hanging swirls dragon knight ceiling swirls fantasy dragon foil swirls dragon birthday party decorations streamers for dragon theme baby shower supplies,https://applied-ai.gr/projects/computer-vision/100/1113852.jpg,party decorations
